"date","phenocam","doy","rcc","gcc","bcc","brt","night.filtered","spline.filtered","max.filtered","year","soil_sensor","sm5cm_daily_mean","sm30cm_daily_mean","sm5cm_daily_min","sm30cm_daily_min","sm5cm_daily_10th","sm30cm_daily_10th","sm5cm_daily_25th","sm30cm_daily_25th","sm5cm_3day90th","sm30cm_3day90th","sm5cm_3day10th","sm30cm_3day10th","sm5cm_3day25th","sm30cm_3day25th","stemp5_daily_mean","stemp30_daily_mean","airtemp_daily_mean","airtemp_daily_min","snowdepth_daily_mean","stemp5_3day90th","stemp30_3day90th","snowdepth_3day90th","air_3day90th"
"2018-08-16",6,228,0.439332824186533,0.352220721652548,0.208320782565203,312.213512632089,0.352220721652548,0.352220721652548,0.35516067207687,2018,"b",0.194826388888889,0.154576388888889,0.193,0.148,0.193,0.148,0.194,0.149,0.197,0.17,0.193,0.148,0.194,0.149,6.76530555555556,9.56461805555556,11.6579930555556,1,3069.34722222222,6.9341,11.251,3087,14.73
"2018-07-27",6,208,0.377547550897581,0.417069352060688,0.203694772694229,304.839309200869,0.417069352060688,0.417069352060688,0.419925129574757,2018,"b",0.214816901408451,0.295619718309859,0.213,0.284,0.213,0.284,0.214,0.28825,0.217,0.32,0.211,0.276,0.211,0.285,6.40691549295775,9.62950704225352,9.54821126760563,1,3062.12676056338,6.5422,10.932,3086,12.906
"2018-11-02",20,306,0.290459586025226,0.332468752732695,0.376502398829754,453.766207477769,0.332468752732695,0.332468752732695,0.333052668341643,2018,"b",0.230305555555556,0.1965625,0.229,0.195,0.229,0.196,0.229,0.196,0.235,0.199,0.229,0.194,0.229,0.195,-0.0470347222222222,1.46579166666667,-4.60765972222222,-6.393,3316.88888888889,0.2709,1.729,3329,-3.4604
"2018-09-08",8,251,0.39472743632629,0.36846354034771,0.235734229279657,328.310662788763,0.36846354034771,0.36846354034771,0.369420205378207,2018,"b",0.107743055555556,0.135208333333333,0.103,0.135,0.103,0.135,0.104,0.135,0.19,0.137,0.104,0.135,0.105,0.135,6.93976388888889,6.21041666666667,7.57636805555556,1,2469.73611111111,9.259,6.5999,2492,11.248
"2018-09-09",15,252,0.410364142246203,0.385722820286363,0.203686052261203,336.951935457894,0.385722820286363,0.385722820286363,0.387684080570386,2018,"a",0.728791666666667,0.192152777777778,0.728,0.187,0.728,0.189,0.728,0.19075,0.729,0.197,0.728,0.19,0.728,0.192,11.8482291666667,22.6722222222222,8.38198611111111,1,3425.82638888889,16.4,23.089,3435,13.986
"2018-09-18",15,261,0.40717234463168,0.377606860561559,0.215087089014404,332.889218104399,0.377606860561559,0.377606860561559,0.378653960486967,2018,"a",0.728493055555556,0.169020833333333,0.728,0.163,0.728,0.164,0.728,0.167,0.729,0.173,0.728,0.165,0.728,0.166,15.1579861111111,25.7325694444444,12.4680555555556,1,3417.47916666667,20.334,26.46,3434,15.439
"2018-06-26",15,177,0.349636260181139,0.426241902758182,0.223914553653073,304.29671807244,0.426241902758182,0.426241902758182,0.436811799545686,2018,"a",0.729145833333333,0.229493055555556,0.729,0.225,0.729,0.226,0.729,0.228,0.729,0.231,0.728,0.226,0.729,0.227,12.7160416666667,18.4916666666667,13.2520138888889,1,3422.24305555556,19.008,20.108,3437.9,18.03
"2018-09-25",20,268,0.396544766865556,0.349373063909775,0.25463405098214,515.35589108638,0.349373063909775,0.349373063909775,0.354363460965928,2018,"b",0.0513194444444444,0.0909097222222222,0.049,0.09,0.049,0.09,0.05,0.091,0.056,0.092,0.048,0.0891,0.05,0.09,6.701625,7.70914583333333,1.89904861111111,-2.625,3537.88888888889,12.289,8.607,4047,7.526
"2018-10-08",13,281,0.304888574490028,0.345439655925694,0.349671769584278,366.84867517258,0.345439655925694,0.345439655925694,0.373117956514903,2018,"b",0.158888888888889,0.421847222222222,0.155,0.416,0.155,0.417,0.155,0.419,0.1679,0.425,0.141,0.417,0.154,0.42,3.75780555555556,4.25416666666667,-3.3314375,-5.748,3248.61805555556,4.952,4.413,3287,0.614400000000002
"2018-08-19",6,231,0.443111844873563,0.337956844539508,0.21811063845176,330.418430140235,0.337956844539508,0.337956844539508,0.34125946108798,2018,"b",0.184145833333333,0.242645833333333,0.18,0.18,0.182,0.181,0.183,0.244,0.193,0.2639,0.183,0.147,0.184,0.1765,6.35290972222222,7.91020138888889,4.89697222222222,1,3066.54861111111,6.7679,9.688,3076,10.738
