"phenocam","rcc","gcc","bcc","brt","night.filtered","spline.filtered","max.filtered","date","doy","year"
11,0.364448719515339,0.333277120684935,0.302634621728523,355.752582792187,0.333277120684935,0.333277120684935,0.351227070775069,"2018-10-06",279,2018
12,0.304030614851341,0.30678738538695,0.389181999761709,389.175293054672,0.30678738538695,0.30678738538695,0.310572245429557,"2018-10-09",282,2018
12,0.313646493328454,0.314518164177352,0.371835342494194,580.14286584458,0.314518164177352,0.314518164177352,0.321025247851004,"2018-11-05",309,2018
15,0.256899846746003,0.338739184726572,0.404007029684214,417.051083519365,0.338739184726572,0.338739184726572,0.349188568936554,"2018-10-14",287,2018
11,0.271516346544029,0.319192515166808,0.409291138289163,442.644246225478,0.319192515166808,0.3198647552864,0.329793675885103,"2018-11-03",307,2018
12,0.363887544342813,0.397345077643834,0.23470615291614,309.646575573872,0.397345077643834,0.397345077643834,0.408634180113519,"2018-07-02",183,2018
7,0.396428950938334,0.425717145883047,0.177618492793307,305.700012305084,0.425717145883047,0.425717145883047,0.42612678237439,"2018-08-06",218,2018
16,0.384471156879258,0.389208852835086,0.224654080476857,324.665949272999,0.389208852835086,0.389208852835086,0.391407598256919,"2018-08-11",223,2018
7,0.268322835199723,0.337889712048975,0.393097075921231,446.582826155795,0.337889712048975,0.337889712048975,0.341056653213335,"2018-10-10",283,2018
19,0.295266714631009,0.334255374503853,0.369624775476721,651.508014438882,0.334255374503853,0.334255374503853,0.336263273023384,"2018-11-14",318,2018
12,0.43880195989754,0.331452830488643,0.230776949428558,354.827080823531,0.331452830488643,0.331452830488643,0.335066191033251,"2018-09-12",255,2018
17,0.392403130979172,0.375989714567471,0.230642167991612,329.534486524931,0.375989714567471,0.375989714567471,0.379888601024799,"2018-09-18",261,2018
9,0.368748988409065,0.394546635652664,0.236926632172366,331.341484762486,0.394546635652664,0.394546635652664,0.39709699782164,"2018-07-10",191,2018
12,0.343511672695739,0.390150842894843,0.270424105313779,329.148597910412,0.390150842894843,0.390150842894843,0.404928453175911,"2018-07-08",189,2018
11,0.426611855093516,0.350692286246694,0.222840078917102,332.203719732404,0.350692286246694,0.350692286246694,0.353588318705422,"2018-09-29",272,2018
17,0.400924267762186,0.38412644953134,0.215158280815342,336.325890929411,0.38412644953134,0.38412644953134,0.393055918689866,"2018-09-16",259,2018
15,0.270558329465996,0.342543155079263,0.386161587251314,437.748517907562,0.342543155079263,0.342543155079263,0.343617906130928,"2018-10-18",291,2018
7,0.268745000374523,0.338014755918991,0.392992595252598,453.743630462318,0.338014755918991,0.338014755918991,0.34212508596291,"2018-10-14",287,2018
20,0.40984531095867,0.358060867779041,0.232813966282806,474.540157368682,0.358060867779041,0.358060867779041,0.360735538168967,"2018-09-08",251,2018
14,0.281286265843844,0.333702882751013,0.385026278112595,379.301614100669,0.333702882751013,0.333702882751013,0.337770115943784,"2018-10-09",282,2018
19,0.36301543204365,0.358141213017243,0.278283423196645,350.105722239017,0.358141213017243,0.358141213017243,0.362251080479481,"2018-06-05",156,2018
11,0.301388837309845,0.327004307704067,0.371581803256201,499.986245006033,0.327004307704067,0.327004307704067,0.329862323518828,"2018-11-04",308,2018
10,0.372543306382364,0.372187950921963,0.255180303410485,326.401741748433,0.372187950921963,0.372187950921963,0.374230783534364,"2018-08-28",240,2018
15,0.275032138717709,0.340329172612368,0.384620267331363,563.476303954931,0.340329172612368,0.340329172612368,0.341271009336348,"2018-11-09",313,2018
8,0.364701868520406,0.415658934934196,0.219577127085677,303.797004493461,0.415658934934196,0.415658934934196,0.41785243889924,"2018-07-17",198,2018
6,0.463348649438955,0.313216062876587,0.22341466749392,318.904207038858,0.313216062876587,0.313216062876587,0.317785576676882,"2018-08-25",237,2018
14,0.401161029602444,0.363737190569139,0.235185606833774,334.33406543669,0.363737190569139,0.363737190569139,0.366404935879597,"2018-09-10",253,2018
13,0.365374662654689,0.375731703585759,0.258693574547219,372.930136777264,0.375731703585759,0.375731703585759,0.381045571811937,"2018-05-29",149,2018
